总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
122.0,11906,3室2厅2卫,低楼层,南,平层,精装,102.47,2014,通用时代国际社区,天心,有,钢混结构,两梯四户,122.0,11906,102.47,2014,通用时代国际社区,天心,3,2,2,低楼层,1,正南,1,精装,3,中户型(90-144㎡),12,老房(11-20年),豪宅,,,,1
89.0,7044,3室2厅2卫,低楼层,南北,平层,其他,126.36,2013,湖山赋,开福,有,钢混结构,其他,89.0,7044,126.36,2013,湖山赋,开福,3,2,2,低楼层,1,南北通透,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
148.0,7996,4室2厅2卫,中楼层,南,平层,其他,185.11,2020,永宏万家里,长沙县,有,钢混结构,其他,148.0,7996,185.11,2020,永宏万家里,长沙县,4,2,2,中楼层,2,正南,1,其他,0,大户型(>144㎡),6,次新房(6-10年),豪宅,,,,1
248.8,14432,4室2厅2卫,中楼层,南北,平层,毛坯,172.4,2013,华润置地润樾府,岳麓,有,钢混结构,两梯两户,248.8,14432,172.4,2013,华润置地润樾府,岳麓,4,2,2,中楼层,2,南北通透,1,毛坯,1,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
168.0,15302,3室2厅2卫,中楼层,南,平层,其他,109.79,2013,旭辉国悦府,雨花,有,钢混结构,其他,168.0,15302,109.79,2013,旭辉国悦府,雨花,3,2,2,中楼层,2,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
90.0,8585,3室2厅1卫,低楼层,南,平层,毛坯,104.84,2018,南山十里天池,岳麓,有,钢混结构,两梯四户,90.0,8585,104.84,2018,南山十里天池,岳麓,3,2,1,低楼层,1,正南,1,毛坯,1,中户型(90-144㎡),8,次新房(6-10年),豪宅,,,,1
175.0,13462,3室2厅2卫,低楼层,南,平层,其他,130.0,2021,运达锦绣广场,长沙县,有,钢混结构,其他,175.0,13462,130.0,2021,运达锦绣广场,长沙县,3,2,2,低楼层,1,正南,1,其他,0,中户型(90-144㎡),5,新房(0-5年),豪宅,,,,1
99.6,8026,4室2厅2卫,高楼层,南,平层,精装,124.11,2018,海德公园,长沙县,有,钢混结构,其他,99.6,8026,124.11,2018,海德公园,长沙县,4,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),8,次新房(6-10年),豪宅,,,,1
40.0,5480,2室2厅2卫,高楼层,南,平层,精装,73.0,2013,康乃馨国际老年生活示范城,望城,有,钢混结构,其他,40.0,5480,73.0,2013,康乃馨国际老年生活示范城,望城,2,2,2,高楼层,3,正南,1,精装,3,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
148.0,7552,4室2厅2卫,高楼层,南北,平层,精装,196.0,2013,碧桂园月湖湾,宁乡,有,钢混结构,其他,148.0,7552,196.0,2013,碧桂园月湖湾,宁乡,4,2,2,高楼层,3,南北通透,1,精装,3,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
75.0,8448,3室1厅1卫,中楼层,南北,平层,精装,88.78,2005,景芳苑公寓,雨花,有,钢混结构,其他,75.0,8448,88.78,2005,景芳苑公寓,雨花,3,1,1,中楼层,2,南北通透,1,精装,3,小户型(<90㎡),21,老旧房(>20年),豪宅,,,,1
48.8,12795,1室1厅1卫,高楼层,南,平层,精装,38.14,2013,明昇壹城,雨花,有,钢混结构,五梯二十户,48.8,12795,38.14,2013,明昇壹城,雨花,1,1,1,高楼层,3,正南,1,精装,3,小户型(<90㎡),13,老房(11-20年),豪宅,5.0,20.0,4.0,1
77.8,7797,3室2厅1卫,低楼层,东,平层,精装,99.79,2013,华龙家园,岳麓,有,钢混结构,两梯四户,77.8,7797,99.79,2013,华龙家园,岳麓,3,2,1,低楼层,1,东,0,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
87.5,8430,3室2厅2卫,高楼层,南,平层,毛坯,103.8,2013,龙湖璟宸原著香颂,望城,有,钢混结构,其他,87.5,8430,103.8,2013,龙湖璟宸原著香颂,望城,3,2,2,高楼层,3,正南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
215.0,15531,5室2厅2卫,高楼层,南,平层,精装,138.44,2013,越秀亲爱里,岳麓,有,钢混结构,其他,215.0,15531,138.44,2013,越秀亲爱里,岳麓,5,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
99.0,10188,3室2厅1卫,低楼层,南,平层,精装,97.18,2018,江山帝景哈佛,岳麓,有,钢混结构,两梯四户,99.0,10188,97.18,2018,江山帝景哈佛,岳麓,3,2,1,低楼层,1,正南,1,精装,3,中户型(90-144㎡),8,次新房(6-10年),豪宅,,,,1
68.0,6080,3室2厅2卫,高楼层,南,平层,精装,111.86,2013,绿地香树花城,望城,有,钢混结构,两梯四户,68.0,6080,111.86,2013,绿地香树花城,望城,3,2,2,高楼层,3,正南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
95.0,7699,3室2厅2卫,高楼层,东南,平层,精装,123.4,2013,卢浮原著,天心,有,钢混结构,两梯四户,95.0,7699,123.4,2013,卢浮原著,天心,3,2,2,高楼层,3,东南,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
54.8,6296,3室2厅1卫,高楼层,南,平层,精装,87.04,2013,佳兆业水岸新都东区,雨花,有,钢混结构,两梯四户,54.8,6296,87.04,2013,佳兆业水岸新都东区,雨花,3,2,1,高楼层,3,正南,1,精装,3,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
130.0,9889,3室2厅2卫,中楼层,南,平层,其他,131.46,2013,芙蓉公寓,芙蓉,有,钢混结构,其他,130.0,9889,131.46,2013,芙蓉公寓,芙蓉,3,2,2,中楼层,2,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
98.0,8730,3室2厅2卫,高楼层,南北,平层,毛坯,112.26,2013,金地三千府,望城,有,钢混结构,其他,98.0,8730,112.26,2013,金地三千府,望城,3,2,2,高楼层,3,南北通透,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
28.2,7350,1室1厅1卫,高楼层,西南,平层,精装,38.37,2013,兰亭玥岛,天心,有,钢混结构,六梯二十二户,28.2,7350,38.37,2013,兰亭玥岛,天心,1,1,1,高楼层,3,西南,1,精装,3,小户型(<90㎡),13,老房(11-20年),豪宅,6.0,22.0,3.6666666666666665,1
200.0,12559,4室2厅2卫,高楼层,南,平层,精装,159.26,2013,融科东南海,雨花,有,钢混结构,两梯三户,200.0,12559,159.26,2013,融科东南海,雨花,4,2,2,高楼层,3,正南,1,精装,3,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
65.8,7619,3室2厅1卫,中楼层,南,平层,精装,86.37,2011,幸福里润城,长沙县,有,钢混结构,两梯四户,65.8,7619,86.37,2011,幸福里润城,长沙县,3,2,1,中楼层,2,正南,1,精装,3,小户型(<90㎡),15,老房(11-20年),豪宅,,,,1
